date,app_name,country,platform,impressions,clicks,installs,spend,revenue
2025-05-14,App_6,CA,Android,12125,422,126,139.07,290.02
2025-05-14,App_6,AU,Android,36842,1488,353,480.24,310.04
2025-05-14,App_7,US,iOS,14494,1014,354,562.75,862.45
2025-05-14,App_7,TR,Android,44869,2838,1261,2901.48,2351.34
2025-05-14,App_7,DE,iOS,25339,3729,986,2024.55,464.1
2025-05-14,App_7,FR,Android,23279,2074,668,1575.81,471.96
2025-05-14,App_7,BR,Android,21458,1428,722,552.78,834.78
2025-05-14,App_7,IN,Android,36609,3484,1338,3335.02,1847.25
2025-05-14,App_7,UK,Android,16117,941,271,651.44,138.21
2025-05-14,App_7,CA,iOS,20723,1054,500,1121.59,821.84
2025-05-14,App_7,AU,iOS,37566,3844,785,909.17,1026.17
2025-05-14,App_8,US,Android,49656,1606,434,349.47,422.1
2025-05-14,App_8,TR,Android,37305,2528,1013,1729.37,2175.18
2025-05-14,App_8,DE,Android,39449,2860,1707,3684.65,4723.36
2025-05-14,App_8,FR,Android,38305,2689,663,1269.05,799.71
2025-05-14,App_8,BR,iOS,7966,772,414,439.32,330.58
2025-05-14,App_8,IN,Android,33372,3954,1860,4635.48,4933.0
2025-05-14,App_8,UK,iOS,4173,614,332,214.21,859.26
2025-05-14,App_8,CA,iOS,42877,1982,424,676.73,1154.08
2025-05-14,App_8,AU,Android,26963,1629,781,968.64,1260.15
2025-05-14,App_9,US,Android,13094,1909,450,354.04,671.69
2025-05-14,App_9,TR,iOS,30242,2375,1405,2332.45,2188.38
2025-05-14,App_9,DE,iOS,9686,433,114,219.49,219.31
2025-05-14,App_9,FR,Android,23438,1161,253,626.54,348.57
2025-05-14,App_9,BR,iOS,44494,2636,1394,1910.57,3845.52
2025-05-14,App_9,IN,iOS,16812,416,145,116.3,397.97
2025-05-14,App_9,UK,iOS,46009,919,354,551.18,642.81
2025-05-14,App_9,CA,iOS,13354,1307,543,891.51,614.89
2025-05-14,App_9,AU,iOS,41562,4877,2211,4933.15,4305.06
2025-05-14,App_10,US,Android,16715,2294,778,513.36,766.09
2025-05-14,App_10,TR,Android,10718,247,145,267.75,293.61
2025-05-14,App_10,DE,iOS,38226,2642,716,1238.52,826.62
2025-05-14,App_10,FR,iOS,47127,504,201,348.59,391.09
2025-05-14,App_10,BR,iOS,23872,2301,558,931.33,439.9
2025-05-14,App_10,IN,iOS,20747,478,136,186.81,88.91
2025-05-14,App_10,UK,iOS,49888,2605,586,371.94,1452.73
2025-05-14,App_10,CA,iOS,38117,617,164,104.79,204.62
2025-05-14,App_10,AU,Android,38444,2751,1609,2231.72,3060.09
2025-05-14,App_11,US,iOS,10894,400,178,374.95,332.4
2025-05-14,App_11,TR,Android,22037,825,304,457.47,665.96
2025-05-14,App_11,DE,iOS,31816,1963,1040,1078.42,1257.76
2025-05-14,App_11,FR,Android,46199,3913,1025,1631.62,1533.7
2025-05-14,App_11,BR,Android,40390,600,124,117.76,183.11
2025-05-14,App_11,IN,Android,40263,5742,2011,3054.53,914.53
2025-05-14,App_11,UK,iOS,2726,289,134,242.85,179.92
2025-05-14,App_11,CA,Android,35175,3757,1613,1098.51,4759.51
2025-05-14,App_11,AU,Android,14465,236,105,129.36,293.0
2025-05-14,App_12,US,iOS,18599,1258,408,228.95,698.32
2025-05-14,App_12,TR,Android,9981,1164,258,558.88,592.71
2025-05-14,App_12,DE,Android,25651,330,103,64.98,124.01
2025-05-14,App_12,FR,Android,27972,1724,430,863.3,276.93
2025-05-14,App_12,BR,Android,17521,1553,769,548.51,1696.24
2025-05-14,App_12,IN,iOS,26180,2032,1143,2020.52,2120.54
2025-05-14,App_12,UK,Android,41709,2789,923,534.18,1178.63
2025-05-14,App_12,CA,iOS,14054,1424,774,980.28,1900.87
2025-05-14,App_12,AU,iOS,43201,1477,791,1705.95,569.76
2025-05-14,App_13,US,iOS,43907,3900,1467,1748.26,1825.29
2025-05-14,App_13,TR,iOS,19785,2508,890,1600.88,2235.0
2025-05-14,App_13,DE,iOS,11136,726,298,590.21,241.36
2025-05-14,App_13,FR,iOS,5018,714,261,358.88,550.93
2025-05-14,App_13,BR,iOS,25414,2973,1056,1073.5,1230.9
2025-05-14,App_13,IN,iOS,20467,1123,232,524.61,283.26
2025-05-14,App_13,UK,Android,34514,5082,2601,3689.99,6202.38
2025-05-14,App_13,CA,iOS,21192,738,424,1008.96,786.48
2025-05-14,App_13,AU,iOS,43849,5852,2753,4046.62,1820.73
2025-05-14,App_14,US,Android,48075,4342,1717,3855.96,2094.23
2025-05-14,App_14,TR,Android,46515,2144,1154,2475.31,1600.74
2025-05-14,App_14,DE,iOS,19341,654,307,428.58,277.98
2025-05-14,App_14,FR,Android,3975,527,279,273.36,647.36
2025-05-14,App_14,BR,iOS,28895,2003,695,600.99,414.41
2025-05-14,App_14,IN,Android,31312,2848,1275,1076.23,2845.96
2025-05-14,App_14,UK,iOS,34618,4351,1098,1828.83,2232.84
2025-05-14,App_14,CA,Android,31392,743,407,210.79,289.3
2025-05-14,App_14,AU,Android,15664,1360,388,335.08,174.52
2025-05-14,App_15,US,Android,31774,1314,335,820.14,781.35
2025-05-14,App_15,TR,iOS,43850,6445,1521,3348.1,3303.69
2025-05-14,App_15,DE,Android,17298,463,118,239.9,207.62
2025-05-14,App_15,FR,Android,37497,1854,781,903.18,393.73
2025-05-14,App_15,BR,iOS,20025,1915,696,561.47,1782.19
2025-05-14,App_15,IN,iOS,41734,2194,1018,967.25,2438.87
2025-05-14,App_15,UK,iOS,47251,4153,1332,1346.07,2657.82
2025-05-14,App_15,CA,Android,22238,882,475,383.36,737.27
2025-05-14,App_15,AU,iOS,43020,3610,1646,1891.13,4651.22
2025-05-14,App_16,US,iOS,4444,651,361,600.13,223.24
2025-05-14,App_16,TR,Android,30068,478,212,257.59,431.1
2025-05-14,App_16,DE,iOS,10389,689,243,514.18,566.72
2025-05-14,App_16,FR,Android,47069,5532,1420,1225.38,3753.7
2025-05-14,App_16,BR,Android,23421,3112,1589,1200.83,3553.12
2025-05-14,App_16,IN,iOS,14623,1959,946,1206.13,680.55
2025-05-14,App_16,UK,iOS,25702,3408,1871,1874.16,4794.91
2025-05-14,App_16,CA,Android,40213,3930,2001,3650.38,4849.13
2025-05-14,App_16,AU,Android,22762,2295,483,1192.86,883.28
2025-05-14,App_17,US,iOS,24035,3095,1131,2135.86,1659.77
2025-05-14,App_17,TR,Android,36428,3660,1544,2428.53,879.35
2025-05-14,App_17,DE,iOS,39449,1944,575,728.47,212.18
2025-05-14,App_17,FR,iOS,5862,602,216,112.92,108.24
2025-05-14,App_17,BR,Android,22757,1137,330,578.82,689.94
2025-05-14,App_17,IN,Android,23542,3120,1802,2381.97,4517.66
2025-05-14,App_17,UK,iOS,4725,382,222,262.69,567.44
2025-05-14,App_17,CA,iOS,23887,948,566,907.06,1314.87
2025-05-14,App_17,AU,Android,46159,591,327,500.77,818.87
2025-05-14,App_18,US,iOS,48920,2040,968,1626.4,1741.95
2025-05-14,App_18,TR,iOS,46281,4833,1105,2461.24,2005.59
2025-05-14,App_18,DE,Android,22514,3346,1802,1838.23,3732.42
2025-05-14,App_18,FR,iOS,37307,1319,267,665.76,254.26
2025-05-14,App_18,BR,Android,28190,373,180,145.18,417.77
2025-05-14,App_18,IN,iOS,39155,1307,636,965.9,629.71
2025-05-14,App_18,UK,Android,3651,132,56,131.18,43.69
2025-05-14,App_18,CA,iOS,13314,1734,742,1678.34,389.08
2025-05-14,App_18,AU,iOS,41093,4062,994,1333.1,2623.25
2025-05-14,App_19,US,Android,21333,2608,1215,1145.21,3630.66
2025-05-14,App_19,TR,Android,5702,711,311,323.02,460.8
2025-05-14,App_19,DE,Android,29219,606,318,725.5,167.14
2025-05-14,App_19,FR,Android,24144,301,61,104.63,58.06
2025-05-14,App_19,BR,iOS,35375,493,150,127.71,313.55
2025-05-14,App_19,IN,Android,47524,4189,1073,1623.22,1428.3
2025-05-14,App_19,UK,Android,31565,1669,733,1279.65,427.33
2025-05-14,App_19,CA,iOS,10667,1463,562,703.18,1331.35
2025-05-14,App_19,AU,Android,39766,5746,1217,1572.11,1943.12
2025-05-14,App_20,US,iOS,42461,2944,1595,1025.09,3611.49
2025-05-14,App_20,TR,Android,10858,336,94,104.82,224.66
2025-05-14,App_20,DE,Android,10913,1508,830,662.17,1566.83
2025-05-14,App_20,FR,Android,39910,1088,646,1525.67,836.92
2025-05-14,App_20,BR,iOS,38917,5328,2318,3873.75,1905.12
2025-05-14,App_20,IN,iOS,12727,228,119,255.37,50.12
2025-05-14,App_20,UK,iOS,44018,4237,1649,3260.67,1326.4
2025-05-14,App_20,CA,iOS,18694,1460,485,846.25,516.17
2025-05-14,App_20,AU,iOS,5043,488,191,321.9,419.35
2025-05-15,App_1,US,iOS,45430,949,334,360.5,925.52
2025-05-15,App_1,TR,iOS,21905,569,133,309.37,347.64
2025-05-15,App_1,DE,Android,10409,225,65,128.19,79.71
2025-05-15,App_1,FR,Android,46306,532,217,257.06,505.9
2025-05-15,App_1,BR,Android,19633,2861,1176,2884.23,1087.77
2025-05-15,App_1,IN,iOS,40911,5337,2828,2110.56,4793.76
2025-05-15,App_1,UK,iOS,16171,1138,238,466.26,486.97
2025-05-15,App_1,CA,iOS,46206,2044,430,549.68,305.83
2025-05-15,App_1,AU,Android,14631,1797,763,813.81,1376.51
2025-05-15,App_2,US,iOS,4935,272,152,191.12,361.86
2025-05-15,App_2,TR,iOS,3287,322,176,296.35,62.48
2025-05-15,App_2,DE,Android,40230,3307,852,1426.95,1016.19
2025-05-15,App_2,FR,Android,27778,2716,755,1251.9,1392.67
2025-05-15,App_2,BR,iOS,49579,2782,916,1447.19,517.35
2025-05-15,App_2,IN,Android,42144,906,222,266.62,514.12
2025-05-15,App_2,UK,Android,49383,982,573,1141.44,1536.7
2025-05-15,App_2,CA,Android,19955,2699,1391,1749.68,3198.18
2025-05-15,App_2,AU,Android,28405,3138,1655,1285.89,1271.84
2025-05-15,App_3,US,Android,32429,4263,1686,2409.56,4952.21
2025-05-15,App_3,TR,Android,34206,2728,1113,2087.98,668.84
2025-05-15,App_3,DE,Android,40880,5826,1882,1028.69,3822.05
2025-05-15,App_3,FR,Android,29968,1284,382,711.77,627.84
2025-05-15,App_3,BR,Android,22942,1086,435,456.69,1243.38
2025-05-15,App_3,IN,Android,20032,933,207,286.54,552.1
2025-05-15,App_3,UK,Android,5525,405,128,236.34,374.46
2025-05-15,App_3,CA,Android,33157,4266,1957,2107.58,1454.07
2025-05-15,App_3,AU,Android,3432,120,62,129.23,140.45
2025-05-15,App_4,US,iOS,19293,1610,361,569.32,240.14
2025-05-15,App_4,TR,iOS,38010,561,134,290.99,327.32
2025-05-15,App_4,DE,Android,8759,135,40,38.3,51.77
2025-05-15,App_4,FR,iOS,17017,2377,971,1861.77,2415.56
2025-05-15,App_4,BR,iOS,1605,109,41,69.96,16.47
2025-05-15,App_4,IN,iOS,47756,4627,1085,1946.25,2700.07
2025-05-15,App_4,UK,Android,17227,2438,743,1355.7,731.57
2025-05-15,App_4,CA,Android,34981,4148,881,939.14,416.37
2025-05-15,App_4,AU,iOS,45870,6600,3747,4795.9,1469.13
2025-05-15,App_5,US,iOS,46765,6370,3093,6555.68,1187.47
2025-05-15,App_5,TR,Android,44903,6555,2278,1998.26,3351.56
2025-05-15,App_5,DE,iOS,21650,2450,1156,2456.96,965.96
2025-05-15,App_5,FR,iOS,29766,2652,1446,1173.23,2742.0
2025-05-15,App_5,BR,iOS,33406,4089,2053,2389.22,998.07
2025-05-15,App_5,IN,Android,26390,1602,766,1909.75,973.9
2025-05-15,App_5,UK,iOS,23745,2363,587,521.6,1661.54
2025-05-15,App_5,CA,iOS,6062,230,102,202.58,294.19
2025-05-15,App_5,AU,iOS,3923,160,89,89.09,236.33
2025-05-15,App_6,US,Android,23820,1732,565,557.28,875.98
2025-05-15,App_6,TR,Android,8177,209,52,109.81,142.89
2025-05-15,App_6,DE,iOS,20014,1948,758,1725.45,885.43
2025-05-15,App_6,FR,Android,9215,311,131,216.51,350.79
2025-05-15,App_6,BR,iOS,39160,3956,2103,3234.34,3100.15
2025-05-15,App_6,IN,iOS,30636,2399,543,973.09,992.17
2025-05-15,App_6,UK,Android,29309,2226,769,472.46,2043.43
2025-05-15,App_6,CA,Android,35944,5303,1516,2343.69,4546.0
2025-05-15,App_6,AU,iOS,10279,118,33,79.07,61.62
2025-05-15,App_7,US,Android,33339,3608,874,1218.2,2533.17
2025-05-15,App_7,TR,Android,37451,4973,1753,2196.05,3018.18
2025-05-15,App_7,DE,iOS,48658,5006,2017,2775.38,1753.26
2025-05-15,App_7,FR,Android,29570,2109,979,532.0,2910.27
2025-05-15,App_7,BR,iOS,15418,1155,532,306.48,1390.66
2025-05-15,App_7,IN,iOS,49316,1456,502,794.75,785.62
2025-05-15,App_7,UK,iOS,49265,6072,1972,4661.55,603.16
2025-05-15,App_7,CA,iOS,29973,2927,1366,2482.41,1098.13
2025-05-15,App_7,AU,iOS,20921,2757,893,1481.97,2631.83
2025-05-15,App_8,US,Android,9897,613,286,571.32,158.99
2025-05-15,App_8,TR,iOS,7798,633,368,692.59,751.13
2025-05-15,App_8,DE,iOS,35229,4600,2745,4202.43,6845.71
2025-05-15,App_8,FR,iOS,16945,435,234,469.56,401.53
2025-05-15,App_8,BR,Android,40229,1384,727,1188.84,1793.89
2025-05-15,App_8,IN,Android,42425,3028,646,343.13,1012.66
2025-05-15,App_8,UK,Android,21395,1593,908,970.49,2095.36
2025-05-15,App_8,CA,iOS,30176,3485,1506,1067.23,2819.75
2025-05-15,App_8,AU,iOS,23872,1181,691,783.5,1742.39
2025-05-15,App_9,US,iOS,32714,1328,765,713.03,1389.44
2025-05-15,App_9,TR,Android,31167,2352,1130,2692.07,590.71
2025-05-15,App_9,DE,Android,1927,186,101,101.52,33.73
2025-05-15,App_9,FR,iOS,5514,190,57,123.62,98.89
2025-05-15,App_9,BR,iOS,48862,734,279,180.1,159.08
2025-05-15,App_9,IN,Android,21301,2221,626,1502.02,1570.02
2025-05-15,App_9,UK,iOS,14368,835,271,424.64,202.21
2025-05-15,App_9,CA,iOS,5189,616,159,150.57,182.25
2025-05-15,App_9,AU,Android,41051,462,151,187.26,76.35
2025-05-15,App_10,US,Android,44006,3015,1484,3169.34,2081.85
2025-05-15,App_10,TR,iOS,26731,1530,422,665.37,1244.23
2025-05-15,App_10,DE,Android,3538,256,137,334.51,98.58
2025-05-15,App_10,FR,iOS,20693,360,215,362.58,482.43
2025-05-15,App_10,BR,iOS,1865,197,107,101.45,319.78
2025-05-15,App_10,IN,iOS,24449,2364,710,1541.17,752.72
2025-05-15,App_10,UK,iOS,33576,1002,510,303.44,309.99
2025-05-15,App_10,CA,iOS,45165,6072,1509,2709.09,1043.09
2025-05-15,App_10,AU,Android,48403,5246,1807,1844.32,5027.89
2025-05-15,App_11,US,iOS,37909,2280,1167,1144.18,1125.31
2025-05-15,App_11,TR,iOS,23948,1145,440,368.68,406.78
2025-05-15,App_11,DE,Android,1035,142,33,69.54,29.7
2025-05-15,App_11,FR,iOS,7480,785,352,601.82,632.69
2025-05-15,App_11,BR,Android,28235,1056,471,422.91,326.56
2025-05-15,App_11,IN,Android,5463,768,392,769.85,690.64
2025-05-15,App_11,UK,Android,20054,1871,1062,2521.27,1272.33
2025-05-15,App_11,CA,Android,42735,3541,1029,949.94,1405.7
2025-05-15,App_11,AU,Android,2594,200,116,165.27,263.95
2025-05-15,App_12,US,iOS,18532,195,62,116.9,178.77
2025-05-15,App_12,TR,Android,30663,2540,540,428.25,561.84
2025-05-15,App_12,DE,Android,2715,112,66,161.01,23.57
2025-05-15,App_12,FR,iOS,35712,1771,376,224.28,481.25
2025-05-15,App_12,BR,iOS,32197,1838,1011,1287.56,2448.77
2025-05-15,App_12,IN,Android,3219,372,136,87.17,378.92
2025-05-15,App_12,UK,iOS,26646,1115,250,372.36,297.59
2025-05-15,App_12,CA,Android,35181,2035,1047,1252.22,2949.73
2025-05-15,App_12,AU,Android,19803,2677,1358,1394.76,880.52
2025-05-15,App_13,US,iOS,46389,1628,658,1336.94,759.1
2025-05-15,App_13,TR,iOS,43880,3919,1546,3301.93,3915.49
2025-05-15,App_13,DE,iOS,12556,170,61,121.88,132.53
2025-05-15,App_13,FR,iOS,18402,472,251,210.0,435.8
2025-05-15,App_13,BR,Android,45525,4363,1347,1535.61,1555.94
2025-05-15,App_13,IN,Android,25309,3682,1879,2223.83,3676.79
2025-05-15,App_13,UK,iOS,30821,3508,1810,1036.75,4783.99
2025-05-15,App_13,CA,iOS,5468,396,223,467.55,522.78
2025-05-15,App_13,AU,Android,28174,794,282,699.05,534.95
2025-05-15,App_14,US,iOS,24564,593,244,519.52,204.95
2025-05-15,App_14,TR,iOS,40829,1628,840,1777.5,2184.16
2025-05-15,App_14,DE,iOS,19285,844,352,732.12,494.89
2025-05-15,App_14,FR,iOS,46127,2123,970,1034.34,2900.32
2025-05-15,App_14,BR,iOS,12566,1225,708,1232.99,382.03
2025-05-15,App_14,IN,iOS,23141,2831,1195,888.35,1165.6
2025-05-15,App_14,UK,iOS,36116,2695,785,1058.64,1537.52
2025-05-15,App_14,CA,Android,20243,2253,1194,1324.16,3511.08
2025-05-15,App_14,AU,iOS,49747,3499,1166,975.59,487.68
2025-05-15,App_15,US,Android,4592,390,99,83.28,190.91
2025-05-15,App_15,TR,Android,12918,1528,352,272.8,394.69
2025-05-15,App_15,DE,Android,10750,1465,865,627.94,447.96
2025-05-15,App_15,FR,Android,37884,1344,641,958.08,1569.83
2025-05-15,App_15,BR,iOS,29503,3300,1235,1942.98,1547.01
2025-05-15,App_15,IN,Android,36249,3745,1571,3923.61,750.51
2025-05-15,App_15,UK,Android,46416,4992,2928,5418.64,1254.13
2025-05-15,App_15,CA,iOS,34469,3006,940,831.55,1978.01
2025-05-15,App_15,AU,iOS,48101,1142,295,281.34,822.68
2025-05-15,App_16,US,iOS,45372,6371,1638,1555.26,1992.76
2025-05-15,App_16,TR,Android,28221,945,231,327.11,442.17
2025-05-15,App_16,DE,iOS,49678,4768,2624,4429.15,7518.78
2025-05-15,App_16,FR,iOS,20314,1134,543,509.61,1524.26
2025-05-15,App_16,BR,iOS,19075,984,426,771.91,484.92
2025-05-15,App_16,IN,Android,32312,2246,1246,1705.65,1027.91
2025-05-15,App_16,UK,iOS,18734,652,262,327.17,430.29
2025-05-15,App_16,CA,iOS,7870,148,81,83.81,232.89
2025-05-15,App_16,AU,Android,20717,1514,745,706.61,329.91
2025-05-15,App_17,US,Android,34193,4705,1150,2476.62,1692.38
2025-05-15,App_17,TR,Android,27563,1493,417,722.66,618.82
2025-05-15,App_17,DE,iOS,35541,3900,1851,1984.24,4733.79
2025-05-15,App_17,FR,iOS,6604,123,73,136.46,23.71
2025-05-15,App_17,BR,Android,37492,704,143,243.68,163.55
2025-05-15,App_17,IN,iOS,12064,238,122,189.77,146.95
2025-05-15,App_17,UK,Android,38946,3616,2057,3423.48,3955.71
2025-05-15,App_17,CA,iOS,21814,2959,605,1378.76,361.09
2025-05-15,App_17,AU,Android,47942,4283,2505,1700.91,6096.55
2025-05-15,App_18,US,Android,45384,2361,844,1279.96,1334.93
2025-05-15,App_18,TR,iOS,35137,2473,1110,2047.67,1807.68
2025-05-15,App_18,DE,Android,38801,475,220,314.8,267.55
2025-05-15,App_18,FR,iOS,16441,2371,938,1190.65,2077.28
2025-05-15,App_18,BR,Android,12697,1708,453,803.71,613.12
2025-05-15,App_18,IN,Android,45763,4671,1092,1627.03,1491.93
2025-05-15,App_18,UK,iOS,29216,2069,672,1484.08,242.95
2025-05-15,App_18,CA,iOS,39219,2058,869,929.15,293.81
2025-05-15,App_18,AU,iOS,22125,2819,759,776.15,2047.79
2025-05-15,App_19,US,iOS,14301,518,197,247.47,571.03
2025-05-15,App_19,TR,iOS,26345,2494,623,814.86,623.25
2025-05-15,App_19,DE,iOS,43743,3905,2236,4221.97,3316.32
2025-05-15,App_19,FR,Android,28526,3668,1534,1006.88,1480.94
2025-05-15,App_19,BR,iOS,37588,3416,1010,683.88,1696.84
2025-05-15,App_19,IN,iOS,1451,165,93,137.7,81.05
2025-05-15,App_19,UK,iOS,6086,487,221,459.4,117.9
2025-05-15,App_19,CA,Android,27893,2546,904,733.52,2233.54
2025-05-15,App_19,AU,Android,37858,2940,984,1731.68,830.04
2025-05-15,App_20,US,Android,43605,6133,3376,6542.61,3770.61
2025-05-15,App_20,TR,iOS,35527,4379,1250,1580.12,2708.98
2025-05-15,App_20,DE,iOS,39330,994,550,560.38,677.8
2025-05-15,App_20,FR,Android,36769,5165,2965,1527.63,6502.65
2025-05-15,App_20,BR,Android,38215,1287,396,647.47,772.92
2025-05-15,App_20,IN,Android,42314,1076,428,883.19,1078.92
2025-05-15,App_20,UK,Android,12130,823,459,974.99,362.52
2025-05-15,App_20,CA,iOS,14845,2132,434,674.18,859.74
2025-05-15,App_20,AU,Android,26083,3436,690,1621.82,997.71
2025-05-16,App_1,US,iOS,33648,4253,1162,2078.51,1184.03
2025-05-16,App_1,TR,Android,29248,1091,635,768.34,1227.58
2025-05-16,App_1,DE,Android,18857,1092,263,564.21,270.09
2025-05-16,App_1,FR,iOS,17567,801,454,485.23,1266.85
2025-05-16,App_1,BR,Android,18030,1129,417,745.99,491.45
2025-05-16,App_1,IN,Android,6343,171,89,91.0,215.51
2025-05-16,App_1,UK,Android,33736,1176,429,336.68,271.25
2025-05-16,App_1,CA,iOS,46029,811,193,247.92,204.01
2025-05-16,App_1,AU,iOS,46388,5098,2294,2801.9,4612.76
2025-05-16,App_2,US,iOS,29632,3382,739,1561.55,1863.79
2025-05-16,App_2,TR,Android,33698,2631,1446,1481.87,3594.17
2025-05-16,App_2,DE,Android,3022,178,71,88.33,112.5
2025-05-16,App_2,FR,iOS,37557,1245,531,1105.22,940.47
2025-05-16,App_2,BR,Android,29076,1012,597,1360.34,1148.81
2025-05-16,App_2,IN,Android,20853,1589,608,938.23,1571.35
2025-05-16,App_2,UK,iOS,39061,1246,631,1078.44,911.95
2025-05-16,App_2,CA,Android,21749,2389,839,2085.05,698.38
2025-05-16,App_2,AU,Android,49089,2252,1343,2599.14,3882.91
2025-05-16,App_3,US,Android,24725,2292,861,1242.68,2570.11
2025-05-16,App_3,TR,iOS,25009,436,166,90.16,123.54
2025-05-16,App_3,DE,iOS,4359,405,87,60.43,85.1
2025-05-16,App_3,FR,Android,32935,2115,646,658.33,385.35
2025-05-16,App_3,BR,iOS,41932,1315,655,853.89,1474.7
2025-05-16,App_3,IN,Android,22964,1317,657,1633.4,917.86
2025-05-16,App_3,UK,Android,37446,1394,701,1265.19,1779.7
2025-05-16,App_3,CA,Android,31714,429,255,324.99,302.16
2025-05-16,App_3,AU,Android,37850,3665,1329,2711.71,419.11
2025-05-16,App_4,US,Android,7194,744,306,267.01,502.04
2025-05-16,App_4,TR,Android,40932,3040,1024,1914.74,1945.6
2025-05-16,App_4,DE,Android,26190,2718,1514,2773.88,4334.02
2025-05-16,App_4,FR,Android,33578,3356,943,1648.29,2128.21
2025-05-16,App_4,BR,Android,48103,590,132,323.23,383.7
2025-05-16,App_4,IN,Android,22536,1276,587,803.82,1646.04
2025-05-16,App_4,UK,Android,38461,2676,1559,973.25,1853.84
2025-05-16,App_4,CA,Android,48899,1822,961,1265.37,2622.36
2025-05-16,App_4,AU,Android,34753,4394,2190,5248.06,5734.9
2025-05-16,App_5,US,Android,38400,3463,1037,2302.51,2864.87
2025-05-16,App_5,TR,Android,38762,824,250,396.4,400.25
2025-05-16,App_5,DE,iOS,5127,156,45,111.09,109.37
2025-05-16,App_5,FR,iOS,10426,438,91,148.4,227.78
2025-05-16,App_5,BR,iOS,6981,629,236,181.11,269.39
2025-05-16,App_5,IN,Android,12180,1078,489,1119.23,1254.88
2025-05-16,App_5,UK,Android,1902,135,28,26.64,62.88
2025-05-16,App_5,CA,Android,9211,716,151,314.32,376.88
2025-05-16,App_5,AU,iOS,18739,1827,821,1718.38,558.57
2025-05-16,App_6,US,iOS,33859,1739,1011,1735.4,1201.16
2025-05-16,App_6,TR,iOS,11156,1023,293,619.06,378.96
