date,app_name,country,platform,impressions,clicks,installs,spend,revenue,CTR,CVR,CPI,ROAS,ARPU,LTV
2025-05-14,App_2,DE,iOS,21494,2825,921,1510.23,2729.29,0.13143202754257002,0.32601769911504425,1.6397719869706842,1.807201552081471,2.963398479913138,266.7058631921824
2025-05-14,App_2,FR,iOS,17477,662,294,683.74,461.35,0.03787835440865137,0.44410876132930516,2.3256462585034012,0.6747447860297774,1.56921768707483,141.2295918367347
2025-05-14,App_2,BR,Android,9924,950,450,780.38,993.51,0.09572752922208787,0.47368421052631576,1.7341777777777778,1.2731105358927701,2.2077999999999998,198.70199999999997
2025-05-14,App_2,IN,iOS,21462,2616,1062,752.72,555.74,0.12188985183114341,0.4059633027522936,0.7087758945386065,0.7383090657880752,0.5232956685499058,47.09661016949153
2025-05-14,App_2,UK,iOS,32885,3079,1080,2561.98,335.46,0.093629314277026,0.35076323481649885,2.3722037037037036,0.13093779030281266,0.3106111111111111,27.955000000000002
2025-05-14,App_2,CA,Android,41823,5120,3017,5173.38,6926.62,0.12242067761757884,0.5892578125,1.7147431223069274,1.3388964274806798,2.295863440503812,206.62770964534306
2025-05-14,App_2,AU,Android,42538,2167,795,846.37,738.89,0.05094268653909446,0.3668666359021689,1.064616352201258,0.8730106218320592,0.9294213836477987,83.64792452830189
2025-05-14,App_3,US,iOS,31158,3589,1043,1323.1,2748.85,0.11518711085435522,0.2906101978266927,1.2685522531160114,2.0775829491346083,2.635522531160115,237.19702780441034
2025-05-14,App_3,TR,iOS,19332,1685,740,1724.3,1640.36,0.08716118352989861,0.4391691394658754,2.330135135135135,0.951319375978658,2.2167027027027024,199.50324324324322
2025-05-14,App_3,DE,Android,5568,463,192,239.1,382.94,0.08315373563218391,0.4146868250539957,1.2453125,1.6015892931827687,1.9944791666666666,179.50312499999998
2025-05-14,App_3,FR,Android,2734,274,131,237.78,295.4,0.10021945866861741,0.4781021897810219,1.815114503816794,1.2423248380856253,2.2549618320610687,202.94656488549617
2025-05-14,App_3,BR,iOS,3388,330,84,134.36,97.14,0.09740259740259741,0.2545454545454545,1.5995238095238098,0.722983030663888,1.1564285714285714,104.07857142857142
2025-05-14,App_3,IN,Android,32386,491,281,564.78,285.69,0.015160871981720496,0.5723014256619144,2.0098932384341635,0.505842983108467,1.0166903914590748,91.50213523131673
2025-05-14,App_3,UK,Android,9869,304,87,48.36,45.22,0.030803526193130003,0.28618421052631576,0.5558620689655173,0.935070306038048,0.5197701149425287,46.77931034482758
2025-05-14,App_3,CA,Android,37126,3967,1600,1953.99,1655.15,0.10685234067769218,0.403327451474666,1.22124375,0.8470616533349711,1.03446875,93.1021875
2025-05-14,App_3,AU,iOS,37132,1622,828,1319.14,991.91,0.04368199935365722,0.5104808877928483,1.5931642512077295,0.751936867959428,1.1979589371980677,107.81630434782609
2025-05-14,App_4,US,Android,45421,4780,981,2394.83,678.07,0.10523766539706303,0.20523012552301256,2.4412130479102956,0.28313909546815436,0.6912028542303772,62.20825688073395
2025-05-14,App_4,TR,Android,45154,3103,1533,1945.22,3355.34,0.06872037914691943,0.4940380277151144,1.268897586431833,1.724915433729861,2.188741030658839,196.9866927592955
2025-05-14,App_4,DE,iOS,36144,4879,1547,953.3,1306.46,0.13498782647189023,0.3170731707317073,0.6162249515190691,1.3704605056120844,0.8445119586296057,76.00607627666452
2025-05-14,App_4,FR,Android,12754,1889,448,1066.63,206.37,0.1481103967382782,0.23716251985177342,2.380870535714286,0.1934785258243252,0.46064732142857145,41.45825892857143
2025-05-14,App_4,BR,iOS,6225,852,429,390.83,135.05,0.13686746987951806,0.5035211267605634,0.911025641025641,0.34554665711434646,0.31480186480186484,28.332167832167837
2025-05-14,App_4,IN,Android,2387,150,57,56.46,140.48,0.06284038542103058,0.38,0.9905263157894737,2.488133191640099,2.464561403508772,221.81052631578947
2025-05-14,App_4,UK,Android,14668,1218,537,1329.47,669.01,0.08303790564494137,0.4408866995073892,2.475735567970205,0.5032155671056887,1.245828677839851,112.12458100558659
2025-05-14,App_4,CA,iOS,24855,2492,1463,3288.29,872.67,0.10026151679742507,0.5870786516853933,2.2476349965823648,0.2653871769217435,0.5964935064935065,53.68441558441559
2025-05-14,App_4,AU,Android,1619,166,80,63.71,210.78,0.102532427424336,0.4819277108433735,0.796375,3.308428818081934,2.63475,237.1275
2025-05-14,App_5,US,Android,44449,2202,543,485.49,1067.86,0.049539922157978804,0.24659400544959129,0.8940883977900552,2.1995509691239774,1.9665930018416204,176.99337016574583
2025-05-14,App_5,TR,iOS,32568,3369,1899,4021.35,1594.01,0.10344509948415623,0.5636687444345503,2.117614533965245,0.3963867855322218,0.8393944181147972,75.54549763033175
2025-05-14,App_5,DE,iOS,27578,499,217,223.6,399.4,0.018094133004568858,0.4348697394789579,1.0304147465437787,1.7862254025044721,1.840552995391705,165.64976958525347
2025-05-14,App_5,FR,Android,37878,1129,277,479.27,745.39,0.029806219969375363,0.24534986713906112,1.730216606498195,1.5552611262962421,2.6909386281588445,242.184476534296
2025-05-14,App_5,BR,Android,15865,1979,674,1507.08,1477.01,0.12473999369681689,0.34057604850934814,2.2360237388724036,0.9800475090904266,2.1914094955489616,197.22685459940655
2025-05-14,App_5,IN,Android,28962,2775,696,1081.42,1565.94,0.09581520613217319,0.2508108108108108,1.553764367816092,1.4480405392909323,2.2499137931034485,202.49224137931037
2025-05-14,App_5,UK,Android,25674,2640,1300,2919.58,2722.41,0.10282776349614396,0.49242424242424243,2.245830769230769,0.9324663136478535,2.094161538461538,188.47453846153843
2025-05-14,App_5,CA,Android,5386,594,215,211.16,109.79,0.11028592647604901,0.36195286195286197,0.982139534883721,0.5199374881606366,0.5106511627906977,45.95860465116279
2025-05-14,App_5,AU,Android,9978,1382,673,685.59,1423.62,0.13850471036279816,0.4869753979739508,1.0187072808320952,2.0764888636065284,2.115334323922734,190.38008915304604
2025-05-14,App_6,US,Android,35269,2836,608,1308.81,386.76,0.0804105588477133,0.2143864598025388,2.152648026315789,0.2955050771311344,0.6361184210526316,57.25065789473685
2025-05-14,App_6,TR,Android,23195,693,161,319.8,62.2,0.029877128691528348,0.23232323232323232,1.9863354037267082,0.1944965603502189,0.3863354037267081,34.77018633540373
2025-05-14,App_6,DE,Android,20436,1628,541,625.32,417.42,0.07966333920532394,0.3323095823095823,1.1558595194085028,0.6675302245250432,0.7715711645101664,69.44140480591497
2025-05-14,App_6,FR,Android,10800,276,123,207.42,295.19,0.025555555555555557,0.44565217391304346,1.686341463414634,1.4231510943978403,2.399918699186992,215.99268292682927
2025-05-14,App_6,BR,iOS,19252,2431,566,1328.01,1065.0,0.12627259505505922,0.23282599753187988,2.3463074204946994,0.8019517925316827,1.8816254416961131,169.3462897526502
2025-05-14,App_6,IN,Android,15587,871,412,760.72,441.58,0.05587989991659716,0.4730195177956372,1.8464077669902914,0.5804763907876748,1.0717961165048544,96.46165048543689
2025-05-14,App_6,UK,Android,18654,2204,1257,1751.72,666.93,0.11815160287337836,0.5703266787658802,1.3935719968178202,0.38072865526454,0.5305727923627684,47.75155131264916
2025-05-14,App_6,CA,Android,12125,422,126,139.07,290.02,0.03480412371134021,0.2985781990521327,1.1037301587301587,2.0854246063133672,2.3017460317460317,207.15714285714284
2025-05-14,App_6,AU,Android,36842,1488,353,480.24,310.04,0.0403886868248195,0.23723118279569894,1.3604532577903683,0.6455938697318008,0.8783002832861191,79.04702549575072
2025-05-14,App_7,US,iOS,14494,1014,354,562.75,862.45,0.06995998344142404,0.34911242603550297,1.5896892655367232,1.53256330519769,2.4362994350282485,219.26694915254237
2025-05-14,App_7,TR,Android,44869,2838,1261,2901.48,2351.34,0.06325079676391272,0.44432699083861876,2.3009357652656623,0.8103933165143307,1.8646629659000795,167.81966693100716
2025-05-14,App_7,DE,iOS,25339,3729,986,2024.55,464.1,0.14716445005722403,0.2644140520246715,2.053296146044625,0.22923612654664002,0.4706896551724138,42.36206896551724
2025-05-14,App_7,FR,Android,23279,2074,668,1575.81,471.96,0.0890931741054169,0.32208293153326906,2.358997005988024,0.2995031126849049,0.7065269461077844,63.5874251497006
2025-05-14,App_7,BR,Android,21458,1428,722,552.78,834.78,0.06654860658029639,0.5056022408963585,0.7656232686980609,1.5101487029197873,1.1562049861495844,104.0584487534626
2025-05-14,App_7,IN,Android,36609,3484,1338,3335.02,1847.25,0.09516785489906854,0.3840413318025258,2.49254110612855,0.5538947292669909,1.3806053811659194,124.25448430493275
2025-05-14,App_7,UK,Android,16117,941,271,651.44,138.21,0.05838555562449588,0.2879914984059511,2.403837638376384,0.212160751565762,0.51,45.9
2025-05-14,App_7,CA,iOS,20723,1054,500,1121.59,821.84,0.05086136177194422,0.47438330170777987,2.2431799999999997,0.732745477402616,1.64368,147.9312
2025-05-14,App_7,AU,iOS,37566,3844,785,909.17,1026.17,0.10232657190012245,0.2042143600416233,1.1581783439490445,1.1286888040740457,1.3072229299363058,117.65006369426753
2025-05-14,App_8,US,Android,49656,1606,434,349.47,422.1,0.03234251651361366,0.27023661270236615,0.8052304147465439,1.20782899819727,0.9725806451612904,87.53225806451613
2025-05-14,App_8,TR,Android,37305,2528,1013,1729.37,2175.18,0.06776571505160166,0.4007120253164557,1.7071767028627838,1.2577875179978837,2.1472655478775913,193.25389930898322
2025-05-14,App_8,DE,Android,39449,2860,1707,3684.65,4723.36,0.07249866916778626,0.5968531468531468,2.1585530169888694,1.2819019445537567,2.76705330990041,249.0347978910369
2025-05-14,App_8,FR,Android,38305,2689,663,1269.05,799.71,0.07019971283122307,0.24656005950167348,1.914102564102564,0.6301642961270242,1.2061990950226245,108.5579185520362
2025-05-14,App_8,BR,iOS,7966,772,414,439.32,330.58,0.0969118754707507,0.5362694300518135,1.061159420289855,0.7524811071656196,0.7985024154589372,71.86521739130434
2025-05-14,App_8,IN,Android,33372,3954,1860,4635.48,4933.0,0.11848256023013305,0.47040971168437024,2.4921935483870965,1.06418321295745,2.6521505376344088,238.6935483870968
2025-05-14,App_8,UK,iOS,4173,614,332,214.21,859.26,0.14713635274382939,0.5407166123778502,0.645210843373494,4.011297325054852,2.588132530120482,232.93192771084338
2025-05-14,App_8,CA,iOS,42877,1982,424,676.73,1154.08,0.04622524896797817,0.21392532795156408,1.596061320754717,1.705377329215492,2.72188679245283,244.9698113207547
2025-05-14,App_8,AU,Android,26963,1629,781,968.64,1260.15,0.060416125802024996,0.4794352363413137,1.2402560819462227,1.300947720515362,1.6135083226632523,145.2157490396927
2025-05-14,App_9,US,Android,13094,1909,450,354.04,671.69,0.14579196578585613,0.2357255107386066,0.7867555555555557,1.8972150039543554,1.4926444444444447,134.33800000000002
2025-05-14,App_9,TR,iOS,30242,2375,1405,2332.45,2188.38,0.07853316579591296,0.5915789473684211,1.6601067615658363,0.93823233081095,1.5575658362989324,140.18092526690393
2025-05-14,App_9,DE,iOS,9686,433,114,219.49,219.31,0.04470369605616353,0.2632794457274827,1.9253508771929826,0.9991799170805048,1.9237719298245615,173.13947368421054
2025-05-14,App_9,FR,Android,23438,1161,253,626.54,348.57,0.049534943254543905,0.21791559000861327,2.4764426877470354,0.5563411753439526,1.3777470355731225,123.99723320158103
2025-05-14,App_9,BR,iOS,44494,2636,1394,1910.57,3845.52,0.05924394300355104,0.5288315629742033,1.3705667144906744,2.0127605897716387,2.758622668579627,248.27604017216643
2025-05-14,App_9,IN,iOS,16812,416,145,116.3,397.97,0.02474423031168213,0.3485576923076923,0.8020689655172414,3.4219260533104046,2.744620689655173,247.01586206896556
2025-05-14,App_9,UK,iOS,46009,919,354,551.18,642.81,0.01997435284400878,0.3852013057671382,1.557005649717514,1.166243332486665,1.8158474576271184,163.42627118644066
2025-05-14,App_9,CA,iOS,13354,1307,543,891.51,614.89,0.09787329639059458,0.41545524100994646,1.6418232044198895,0.6897174456820451,1.1323941068139962,101.91546961325966
2025-05-14,App_9,AU,iOS,41562,4877,2211,4933.15,4305.06,0.11734276502574467,0.453352470781218,2.2311849841700586,0.8726797279628636,1.9471099050203529,175.23989145183177
2025-05-14,App_10,US,Android,16715,2294,778,513.36,766.09,0.1372419982052049,0.33914559721011334,0.6598457583547558,1.4923055945145707,0.9846915167095116,88.62223650385604
2025-05-14,App_10,TR,Android,10718,247,145,267.75,293.61,0.023045344280649374,0.5870445344129555,1.846551724137931,1.0965826330532213,2.024896551724138,182.24068965517242
2025-05-14,App_10,DE,iOS,38226,2642,716,1238.52,826.62,0.06911526186365301,0.27100681302043905,1.7297765363128492,0.6674256370506734,1.1544972067039105,103.90474860335195
2025-05-14,App_10,FR,iOS,47127,504,201,348.59,391.09,0.010694506333948691,0.39880952380952384,1.734278606965174,1.1219197337846754,1.9457213930348258,175.11492537313433
2025-05-14,App_10,BR,iOS,23872,2301,558,931.33,439.9,0.09638907506702413,0.242503259452412,1.6690501792114696,0.47233526247409613,0.7883512544802866,70.9516129032258
2025-05-14,App_10,IN,iOS,20747,478,136,186.81,88.91,0.02303947558683183,0.28451882845188287,1.3736029411764705,0.475938118944382,0.6537499999999999,58.83749999999999
2025-05-14,App_10,UK,iOS,49888,2605,586,371.94,1452.73,0.05221696600384862,0.22495201535508638,0.6347098976109214,3.90581814271119,2.479061433447099,223.1155290102389
2025-05-14,App_10,CA,iOS,38117,617,164,104.79,204.62,0.016187003174436602,0.26580226904376014,0.6389634146341464,1.9526672392403854,1.2476829268292684,112.29146341463415
2025-05-14,App_10,AU,Android,38444,2751,1609,2231.72,3060.09,0.07155863073561544,0.5848782260996002,1.3870229956494715,1.3711800763536646,1.901858297078931,171.1672467371038
2025-05-14,App_11,US,iOS,10894,400,178,374.95,332.4,0.03671745915182669,0.445,2.106460674157303,0.8865182024269902,1.8674157303370784,168.06741573033705
2025-05-14,App_11,TR,Android,22037,825,304,457.47,665.96,0.03743703770930708,0.36848484848484847,1.5048355263157895,1.4557457319605658,2.1906578947368422,197.1592105263158
2025-05-14,App_11,DE,iOS,31816,1963,1040,1078.42,1257.76,0.06169851646970078,0.5298013245033113,1.0369423076923077,1.1662988446059976,1.2093846153846153,108.84461538461538
2025-05-14,App_11,FR,Android,46199,3913,1025,1631.62,1533.7,0.08469880300439403,0.2619473549706108,1.5918243902439024,0.9399860261580516,1.4962926829268293,134.66634146341462
2025-05-14,App_11,BR,Android,40390,600,124,117.76,183.11,0.014855162168853677,0.20666666666666667,0.9496774193548387,1.5549422554347827,1.4766935483870969,132.9024193548387
2025-05-14,App_11,IN,Android,40263,5742,2011,3054.53,914.53,0.14261232396989793,0.3502264019505399,1.5189109895574342,0.2994012172085394,0.45476379910492293,40.92874191944306
2025-05-14,App_11,UK,iOS,2726,289,134,242.85,179.92,0.10601614086573734,0.46366782006920415,1.8123134328358208,0.7408688490837966,1.342686567164179,120.84179104477612
2025-05-14,App_11,CA,Android,35175,3757,1613,1098.51,4759.51,0.1068088130774698,0.4293319137609795,0.6810353378797273,4.3326961065443195,2.9507191568505893,265.564724116553
2025-05-14,App_11,AU,Android,14465,236,105,129.36,293.0,0.016315243691669548,0.4449152542372881,1.2320000000000002,2.2649969078540506,2.7904761904761903,251.14285714285714
2025-05-14,App_12,US,iOS,18599,1258,408,228.95,698.32,0.06763804505618581,0.32432432432432434,0.5611519607843137,3.0500982747324747,1.7115686274509805,154.04117647058825
2025-05-14,App_12,TR,Android,9981,1164,258,558.88,592.71,0.11662158100390742,0.22164948453608246,2.166201550387597,1.0605317778413972,2.297325581395349,206.75930232558142
2025-05-14,App_12,DE,Android,25651,330,103,64.98,124.01,0.012864995516743987,0.31212121212121213,0.630873786407767,1.9084333641120343,1.203980582524272,108.35825242718448
2025-05-14,App_12,FR,Android,27972,1724,430,863.3,276.93,0.061633061633061634,0.2494199535962877,2.007674418604651,0.3207807251245222,0.6440232558139535,57.96209302325581
2025-05-14,App_12,BR,Android,17521,1553,769,548.51,1696.24,0.08863649335083613,0.4951706374758532,0.7132769830949285,3.092450456691765,2.205773732119636,198.51963589076723
2025-05-14,App_12,IN,iOS,26180,2032,1143,2020.52,2120.54,0.07761650114591291,0.5625,1.7677340332458442,1.0495021083681428,1.8552405949256343,166.9716535433071
2025-05-14,App_12,UK,Android,41709,2789,923,534.18,1178.63,0.06686806204895826,0.3309429903191108,0.5787432286023835,2.2064285446853127,1.276955579631636,114.92600216684724
2025-05-14,App_12,CA,iOS,14054,1424,774,980.28,1900.87,0.1013234666287178,0.5435393258426966,1.2665116279069768,1.9391092340963805,2.455904392764858,221.0313953488372
2025-05-14,App_12,AU,iOS,43201,1477,791,1705.95,569.76,0.034189023402236056,0.5355450236966824,2.156700379266751,0.33398399718631844,0.7203034134007585,64.82730720606827
2025-05-14,App_13,US,iOS,43907,3900,1467,1748.26,1825.29,0.08882410549570684,0.37615384615384617,1.1917246080436263,1.0440609520323063,1.2442331288343558,111.98098159509202
2025-05-14,App_13,TR,iOS,19785,2508,890,1600.88,2235.0,0.12676269901440484,0.3548644338118022,1.798741573033708,1.3961071410724102,2.5112359550561796,226.01123595505615
2025-05-14,App_13,DE,iOS,11136,726,298,590.21,241.36,0.06519396551724138,0.41046831955922863,1.980570469798658,0.4089391911353586,0.8099328859060403,72.89395973154363
2025-05-14,App_13,FR,iOS,5018,714,261,358.88,550.93,0.1422877640494221,0.36554621848739494,1.3750191570881225,1.5351370931787782,2.1108429118773944,189.97586206896548
2025-05-14,App_13,BR,iOS,25414,2973,1056,1073.5,1230.9,0.11698276540489494,0.35519677093844604,1.0165719696969697,1.1466231951560317,1.1656250000000001,104.90625000000001
2025-05-14,App_13,IN,iOS,20467,1123,232,524.61,283.26,0.054868813211511214,0.20658949243098843,2.26125,0.5399439583690742,1.2209482758620689,109.8853448275862
2025-05-14,App_13,UK,Android,34514,5082,2601,3689.99,6202.38,0.14724459639566553,0.5118063754427391,1.4186812764321415,1.68086634381123,2.3846136101499424,214.6152249134948
2025-05-14,App_13,CA,iOS,21192,738,424,1008.96,786.48,0.03482446206115515,0.5745257452574526,2.379622641509434,0.7794957183634633,1.8549056603773586,166.94150943396227
2025-05-14,App_13,AU,iOS,43849,5852,2753,4046.62,1820.73,0.13345800360327487,0.47043745727956254,1.4698946603705048,0.4499384671651897,0.6613621503814021,59.52259353432619
2025-05-14,App_14,US,Android,48075,4342,1717,3855.96,2094.23,0.09031721268850754,0.3954398894518655,2.2457542224810716,0.5431150738078195,1.2197029702970297,109.77326732673266
2025-05-14,App_14,TR,Android,46515,2144,1154,2475.31,1600.74,0.04609265828227453,0.5382462686567164,2.1449826689774696,0.6466826377302237,1.3871230502599654,124.84107452339688
2025-05-14,App_14,DE,iOS,19341,654,307,428.58,277.98,0.033814177136652704,0.4694189602446483,1.3960260586319218,0.6486070278594429,0.9054723127035831,81.49250814332248
2025-05-14,App_14,FR,Android,3975,527,279,273.36,647.36,0.13257861635220125,0.5294117647058824,0.9797849462365592,2.3681592039800994,2.3202867383512547,208.82580645161292
2025-05-14,App_14,BR,iOS,28895,2003,695,600.99,414.41,0.06931995154871085,0.3469795307039441,0.8647338129496402,0.6895455831211834,0.5962733812949641,53.66460431654677
2025-05-14,App_14,IN,Android,31312,2848,1275,1076.23,2845.96,0.09095554420030659,0.4476825842696629,0.8441019607843138,2.6443789896211776,2.2321254901960783,200.89129411764705
2025-05-14,App_14,UK,iOS,34618,4351,1098,1828.83,2232.84,0.1256860592755214,0.2523557802803953,1.6656010928961749,1.220911730450616,2.0335519125683064,183.01967213114756
2025-05-14,App_14,CA,Android,31392,743,407,210.79,289.3,0.023668450560652397,0.5477792732166891,0.5179115479115479,1.3724559988614262,0.7108108108108109,63.97297297297298
2025-05-14,App_14,AU,Android,15664,1360,388,335.08,174.52,0.08682328907048008,0.2852941176470588,0.8636082474226804,0.5208308463650472,0.4497938144329897,40.481443298969076
2025-05-14,App_15,US,Android,31774,1314,335,820.14,781.35,0.041354566626801786,0.2549467275494673,2.448179104477612,0.9527031970151438,2.3323880597014925,209.91492537313434
2025-05-14,App_15,TR,iOS,43850,6445,1521,3348.1,3303.69,0.14697833523375142,0.23599689681923972,2.201249178172255,0.9867357605806278,2.172051282051282,195.48461538461538
2025-05-14,App_15,DE,Android,17298,463,118,239.9,207.62,0.02676610012718233,0.2548596112311015,2.033050847457627,0.8654439349729054,1.7594915254237289,158.3542372881356
2025-05-14,App_15,FR,Android,37497,1854,781,903.18,393.73,0.04944395551644132,0.42125134843581447,1.1564404609475032,0.43593746540003103,0.5041357234314982,45.37221510883484
2025-05-14,App_15,BR,iOS,20025,1915,696,561.47,1782.19,0.09563046192259675,0.36344647519582246,0.8067097701149426,3.1741499991094804,2.560617816091954,230.45560344827587
2025-05-14,App_15,IN,iOS,41734,2194,1018,967.25,2438.87,0.05257104519097139,0.4639927073837739,0.950147347740668,2.521447402429568,2.395746561886051,215.6171905697446
2025-05-14,App_15,UK,iOS,47251,4153,1332,1346.07,2657.82,0.08789231973926477,0.3207320009631592,1.010563063063063,1.9745035547928416,1.9953603603603605,179.58243243243246
2025-05-14,App_15,CA,Android,22238,882,475,383.36,737.27,0.039661840093533594,0.5385487528344671,0.8070736842105264,1.9231792570951585,1.5521473684210525,139.69326315789473
2025-05-14,App_15,AU,iOS,43020,3610,1646,1891.13,4651.22,0.08391445839144585,0.45595567867036013,1.1489246658566221,2.459492472754385,2.825771567436209,254.31944106925883
2025-05-14,App_16,US,iOS,4444,651,361,600.13,223.24,0.1464896489648965,0.554531490015361,1.662409972299169,0.3719860696849016,0.618393351800554,55.65540166204986
2025-05-14,App_16,TR,Android,30068,478,212,257.59,431.1,0.015897299454569642,0.4435146443514644,1.2150471698113205,1.673589813269149,2.033490566037736,183.01415094339623
2025-05-14,App_16,DE,iOS,10389,689,243,514.18,566.72,0.06632014630859563,0.35268505079825835,2.1159670781893003,1.1021821152125717,2.332181069958848,209.8962962962963
2025-05-14,App_16,FR,Android,47069,5532,1420,1225.38,3753.7,0.11752958422741082,0.25668835864063627,0.862943661971831,3.0632946514550583,2.643450704225352,237.91056338028167
2025-05-14,App_16,BR,Android,23421,3112,1589,1200.83,3553.12,0.13287220870159258,0.5106041131105399,0.7557142857142857,2.9588867699840944,2.2360730018879797,201.2465701699182
2025-05-14,App_16,IN,iOS,14623,1959,946,1206.13,680.55,0.1339670382274499,0.482899438489025,1.2749788583509516,0.5642426604097401,0.7193974630021142,64.74577167019028
2025-05-14,App_16,UK,iOS,25702,3408,1871,1874.16,4794.91,0.13259668508287292,0.5490023474178404,1.0016889363976484,2.5584315106501045,2.562752538749332,230.64772848743988
2025-05-14,App_16,CA,Android,40213,3930,2001,3650.38,4849.13,0.09772958993360356,0.5091603053435114,1.8242778610694652,1.3283904689374804,2.423353323338331,218.10179910044977
2025-05-14,App_16,AU,Android,22762,2295,483,1192.86,883.28,0.10082593796678675,0.21045751633986928,2.4696894409937884,0.7404724779102326,1.828737060041408,164.5863354037267
2025-05-14,App_17,US,iOS,24035,3095,1131,2135.86,1659.77,0.128770542958186,0.3654281098546042,1.8884703801945182,0.7770968134615565,1.467524314765694,132.07718832891246
2025-05-14,App_17,TR,Android,36428,3660,1544,2428.53,879.35,0.10047216426924344,0.42185792349726775,1.5728821243523317,0.36209147097215183,0.5695272020725389,51.25744818652851
2025-05-14,App_17,DE,iOS,39449,1944,575,728.47,212.18,0.04927881568607569,0.2957818930041152,1.266904347826087,0.2912680000549096,0.3690086956521739,33.21078260869565
2025-05-14,App_17,FR,iOS,5862,602,216,112.92,108.24,0.10269532582736267,0.3588039867109635,0.5227777777777778,0.9585547290116896,0.5011111111111111,45.099999999999994
2025-05-14,App_17,BR,Android,22757,1137,330,578.82,689.94,0.04996264885529727,0.29023746701846964,1.7540000000000002,1.1919767803462216,2.090727272727273,188.16545454545457
2025-05-14,App_17,IN,Android,23542,3120,1802,2381.97,4517.66,0.13252909693314077,0.5775641025641025,1.3218479467258601,1.8966065903432874,2.5070255271920088,225.6322974472808
2025-05-14,App_17,UK,iOS,4725,382,222,262.69,567.44,0.08084656084656085,0.581151832460733,1.1832882882882882,2.1601126803456547,2.556036036036036,230.04324324324324
2025-05-14,App_17,CA,iOS,23887,948,566,907.06,1314.87,0.039686858960941096,0.5970464135021097,1.6025795053003533,1.4495953961149206,2.3230918727915193,209.07826855123673
2025-05-14,App_17,AU,Android,46159,591,327,500.77,818.87,0.01280357026798674,0.5532994923857868,1.5314067278287462,1.6352217584919224,2.504189602446483,225.37706422018348
2025-05-14,App_18,US,iOS,48920,2040,968,1626.4,1741.95,0.041700735895339326,0.4745098039215686,1.6801652892561985,1.0710464830300048,1.7995351239669422,161.9581611570248
2025-05-14,App_18,TR,iOS,46281,4833,1105,2461.24,2005.59,0.1044273027808388,0.22863645768673702,2.2273665158371037,0.8148697404560303,1.8150135746606335,163.35122171945702
2025-05-14,App_18,DE,Android,22514,3346,1802,1838.23,3732.42,0.14861863729235142,0.5385534967124925,1.0201054384017758,2.030442327673904,2.07126526082131,186.41387347391787
2025-05-14,App_18,FR,iOS,37307,1319,267,665.76,254.26,0.0353552952529016,0.20242608036391205,2.493483146067416,0.38190939677962027,0.9522846441947566,85.70561797752809
2025-05-14,App_18,BR,Android,28190,373,180,145.18,417.77,0.013231642426392338,0.48257372654155495,0.8065555555555556,2.877600220416035,2.3209444444444443,208.885
2025-05-14,App_18,IN,iOS,39155,1307,636,965.9,629.71,0.033380155791086705,0.486610558530987,1.5187106918238993,0.6519411947406565,0.9901100628930818,89.10990566037736
2025-05-14,App_18,UK,Android,3651,132,56,131.18,43.69,0.036154478225143796,0.42424242424242425,2.3425000000000002,0.33305381917975296,0.7801785714285714,70.21607142857142
2025-05-14,App_18,CA,iOS,13314,1734,742,1678.34,389.08,0.1302388463271744,0.4279123414071511,2.2619137466307278,0.23182430258469677,0.524366576819407,47.19299191374663
